Колонка,Описание
case_id,"идентификационный номер случая, присвоенный Министерством здравоохранения"
date_onset,"дата начала симптомов, ГГГГ-ММ-ДД"
date_hospitalisation,"дата первичной госпитализации, ГГГГ-ММ-ДД"
date_outcome,дата определения статуса исхода
outcome,"либо ""смерть"", либо ""выздоровление"", либо ""неизвестно"
gender,"либо 'м', либо 'ф', либо 'неизвестно'"
age,номер возраста
age_unit,"единица измерения возраста, либо ""годы"", либо ""месяцы"", либо ""дни"
age_years,возраст в годах
age_cat,"возрастная категория, либо '0-4' или '5-9' или '10-14' или '15-19' или '20-29' или '30-49' или '50-69' или '70+'"
hospital,Название больницы первой госпитализации
lon,"долгота места жительства, приблизительно"
lat,"широта места жительства, приблизительно"
source,контекст известного события передачи
wt_kg,"вес, в килограммах"
ht_cm,"рост, в сантиметрах"
ct_blood,анализ крови
epilink,"была ли установлена эпидемиологическая связь с другим случаем, либо ""да"", либо ""нет"""
lab_confirmed,"был ли случай подтвержден лабораторными исследованиями, либо TRUE, либо FALSE"
case_def,"определение случая, определяемое в сценарии очистки R на основе эпилинка, лабораторного подтверждения и лихорадки как ""Подтвержден"", ""Подозревается"" или ""Расследуется""."
fever,"наличие лихорадки при поступлении, либо ""да"", либо ""нет"
chills,"наличие озноба при поступлении, либо ""да"", либо ""нет"
cough,"наличие кашля при поступлении, либо ""да"", либо ""нет"
aches,"наличие болей при поступлении, либо ""да"", либо ""нет"
vomit,"наличие рвоты при поступлении, либо ""да"", либо ""нет"
temp,"температура пациента, в градусах Цельсия"
